go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.004571   1,573 annotations READ: go_slim_results_K1_cpdb_0.3.txt 
227 IDs in all associations
func_module_number	
3	GO:0032501;GO:0006996;GO:0032502
7	GO:0008283;GO:0036211;GO:0006793;GO:0044419;GO:0001775;GO:0002376;GO:0050896;GO:0050789
10	GO:0050896;GO:0007154;GO:0050789
11	GO:0008152;GO:0045229;GO:0043062;GO:0065009;GO:0022411;GO:0050896;GO:0050789
12	GO:0050896;GO:0001906;GO:0002376;GO:0044419;GO:0050789
14	GO:0065008;GO:0050789
15	GO:0050877
16	GO:0016043
17	GO:0050896;GO:0002376;GO:0040011;GO:0050789
18	GO:0050896;GO:0050789
19	GO:0065008;GO:0061024;GO:0006869
20	GO:0051641;GO:0006810
21	GO:0007155;GO:0016043
24	GO:0042440;GO:0006805;GO:0006082
27	GO:0006811
29	GO:0045229;GO:0043062
34	GO:0009057;GO:0006508
35	GO:0050896;GO:0032502;GO:0050789
36	GO:0050896;GO:0002376;GO:0044419;GO:0050789
39	GO:0050789
40	GO:0002376;GO:0050896;GO:0050789
41	GO:0006351;GO:0065003;GO:0006281;GO:0050789
42	GO:0006412
43	GO:0009914;GO:0046903;GO:0015833;GO:0032501;GO:0050789
45	GO:0050789
47	GO:0050896;GO:0032502;GO:0050789
48	GO:0006811;GO:0065008;GO:0050877;GO:0007154;GO:0050789
49	GO:0006412;GO:0050789
51	GO:0050896;GO:0002376;GO:0040011;GO:0050789
52	GO:0032501;GO:0022414
54	GO:0050789
55	GO:0006412;GO:0016070;GO:0042254;GO:0006396
56	GO:0032501;GO:0032502;GO:0050896;GO:0050789
57	GO:0022900;GO:0009117;GO:0006119
58	GO:0050789;GO:0008037
59	GO:0016192;GO:0016050;GO:0046903;GO:0051640;GO:0061024;GO:0007154;GO:0022406;GO:0006836;GO:0048284;GO:0050789
60	GO:0051641;GO:0016050;GO:0061024;GO:0016192
62	GO:0006520;GO:0016070;GO:0007005;GO:0065003
63	GO:0001816;GO:0044419;GO:0002376;GO:0050896;GO:0050789
64	GO:0006412;GO:0022607;GO:0016070;GO:0006996;GO:0009057;GO:0065008;GO:0050789
65	GO:0009057;GO:0065008;GO:0016070;GO:0050789
80	GO:0032502;GO:0050877
82	GO:0006412;GO:0016070;GO:0050789
98	GO:0046903;GO:0009914;GO:0006869;GO:0050789
100	GO:0008283;GO:0036211;GO:0006793;GO:0032502;GO:0001775;GO:0002376;GO:0050896;GO:0050789
111	GO:0006865
114	GO:0006811
116	GO:0051641;GO:0051234;GO:0050789
117	GO:0036211;GO:0016070;GO:0016032;GO:0016043;GO:0051301;GO:0007049;GO:0050789
118	GO:0032501;GO:0006811;GO:0050789
147	GO:0065008;GO:0050886;GO:0006936;GO:0050789
151	GO:0006281;GO:0022414
165	GO:0019538;GO:0009059
172	GO:0006996;GO:0022607
183	GO:0031640
188	GO:0050896;GO:0050789
189	GO:0050789
207	GO:0006412;GO:0065003
210	GO:0051641;GO:0006810
211	GO:0006811;GO:0007154;GO:0050789
214	GO:0009057;GO:0006508;GO:0050789
216	GO:0006996;GO:0051640;GO:0032501;GO:0006810;GO:0022607
222	GO:0050877
231	GO:0044419
236	GO:0032501;GO:0006869;GO:0016043;GO:0050789
