go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.008482   1,996 annotations READ: go_slim_results_M1_cpdb_0.3.txt 
320 IDs in all associations
func_module_number	
2	GO:0016192;GO:0051640;GO:0007154;GO:0046903;GO:0050789;GO:0022406;GO:0016050;GO:0061024;GO:0048284;GO:0006836
3	GO:0050789;GO:0009057;GO:0065008;GO:0016070
4	GO:0006412;GO:0050789
7	GO:0032501;GO:0032502
8	GO:0065003;GO:0000375;GO:0016070
9	GO:0019538
10	GO:0050789;GO:0002376;GO:0007155
11	GO:0006412;GO:0042254
12	GO:0050896;GO:0006914;GO:0050789;GO:0022607;GO:0007033
13	GO:0050789;GO:0050896
14	GO:0051641;GO:0051234
17	GO:0006508;GO:0009057;GO:0036211
18	GO:0044419;GO:0050896;GO:0050789;GO:0001816;GO:0002376
19	GO:0050789;GO:0050896;GO:0006351
20	GO:0032501;GO:0022607
21	GO:0006508;GO:0009057;GO:0015031;GO:0050896
22	GO:0050789;GO:0050896
23	GO:0022900;GO:0009117;GO:0006119
24	GO:0050789
25	GO:0032502;GO:0051258;GO:0050789;GO:0006996;GO:0065008
26	GO:0050789;GO:0050896;GO:0065009
28	GO:0050789;GO:0006508;GO:0009057
29	GO:0050789;GO:0065009
30	GO:0043062;GO:0045229;GO:0032502
31	GO:0050789
32	GO:0006351;GO:0032502;GO:0036211;GO:0050896;GO:0050789;GO:0048511;GO:0065009
33	GO:0050789;GO:0006996;GO:0051261;GO:0065008
34	GO:0016192;GO:0051640;GO:0051641;GO:0061024;GO:0022406
35	GO:0050789
36	GO:0006412
37	GO:0051604;GO:0050896;GO:0050817;GO:0050878
38	GO:0019538;GO:0009059;GO:0050789;GO:0006629
39	GO:0016192;GO:0051641
43	GO:0016043
44	GO:0050789;GO:0006996;GO:0051258;GO:0031023
45	GO:0032501;GO:0050896;GO:0050789;GO:0032502
46	GO:0050789;GO:0006629
48	GO:0006396;GO:0042254;GO:0016070
49	GO:0006810;GO:0051641;GO:0061024;GO:0007005
51	GO:0006281;GO:0007059
52	GO:0016192;GO:0051641;GO:0016050;GO:0061024
53	GO:0050789;GO:0050896;GO:0032502
54	GO:0006996;GO:0032502
55	GO:0016192;GO:0051640;GO:0051641;GO:0048753
56	GO:0032502;GO:0050789;GO:0006996;GO:0022607;GO:0007155;GO:0065009
57	GO:0050789;GO:0043062;GO:0045229;GO:0032502
58	GO:0016043
59	GO:0050789;GO:0000375;GO:0016070
61	GO:0050789;GO:0032502
62	GO:0044419;GO:0040011;GO:0050896;GO:0050789;GO:0002376
63	GO:0006508;GO:0006457;GO:0009057;GO:0050896
64	GO:0006811
65	GO:0050789;GO:0022607
66	GO:0048284;GO:0016050;GO:0061024
67	GO:0065003;GO:0016192
68	GO:0032502;GO:0036211;GO:0050896;GO:0050789;GO:0006629;GO:0006793
69	GO:0050789;GO:1902600;GO:0065008;GO:0006914
70	GO:0050789;GO:0065008
71	GO:0006396;GO:0016070
72	GO:0050886;GO:0051604;GO:0050789;GO:0006508;GO:0065009;GO:0043603;GO:0042445
73	GO:0050877;GO:0007154;GO:0050789;GO:0006811;GO:0065008
74	GO:0050789;GO:0007154
75	GO:0050789;GO:0007005
76	GO:0015931;GO:0051641
77	GO:0006396;GO:0009057;GO:0042254;GO:0016070
78	GO:0032501;GO:0036211;GO:0050789;GO:0022414;GO:0006793
79	GO:0040011;GO:0032502;GO:0036211;GO:0050896;GO:0050789;GO:0007155;GO:0006793;GO:0002376
80	GO:0006793;GO:0006139
81	GO:0050789
82	GO:0006508;GO:0009057;GO:0015031;GO:0050896
83	GO:0032501;GO:0016043;GO:0006869;GO:0050789;GO:0006629
84	GO:0044419;GO:0050896;GO:0050789;GO:0002376;GO:0065009
