go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.005483   1,955 annotations READ: go_slim_results_M1_cpdb_0.6.txt 
312 IDs in all associations
func_module_number	
117	GO:0051641;GO:0022411;GO:0006997;GO:0022607;GO:0044085;GO:0016192;GO:0061024;GO:0006508;GO:0016032;GO:0050789;GO:0007032;GO:0009057;GO:0044419
119	GO:0044238;GO:0006082
120	GO:0002376;GO:0050789;GO:0050896
121	GO:0050789
122	GO:0036211
124	GO:0006996;GO:0032502;GO:0006936
125	GO:0009057;GO:0006508;GO:0050896
126	GO:0051640;GO:0051641;GO:0006810;GO:0048753
127	GO:0006396;GO:0016070;GO:0043412
128	GO:0006811
129	GO:0044419;GO:0002376;GO:0050896
131	GO:0006811
132	GO:0050789
133	GO:0065009;GO:0006869;GO:0032501;GO:0050789;GO:0016043
134	GO:0048511;GO:0006351;GO:0050789;GO:0050896
136	GO:0009059;GO:0006281
137	GO:0051641;GO:0022607;GO:0048753;GO:0051640;GO:0006810
138	GO:0006996;GO:0051258;GO:0050789
139	GO:0006810
140	GO:0045229;GO:0043062
141	GO:0006508;GO:0050789
142	GO:0006091;GO:0005975;GO:0006082;GO:0009117
144	GO:0006260
145	GO:0008150
147	GO:0050789
149	GO:0006082;GO:0006629;GO:0006139;GO:0006790;GO:0043603;GO:0006793;GO:0036211
150	GO:0051604
152	GO:0005975
153	GO:0006412;GO:0032502;GO:0050789
154	GO:0006811
156	GO:0006996;GO:0022607;GO:0016070;GO:0050789;GO:0006412;GO:0009057
157	GO:0016043;GO:0032502
158	GO:0015031;GO:0006508;GO:0050789;GO:0009057;GO:0050896
159	GO:0036211
162	GO:0008152
163	GO:0006996;GO:0022607;GO:0032501;GO:0051640;GO:0006810;GO:0043473
165	GO:0006266;GO:0006281
167	GO:0051640;GO:0007049;GO:0051234;GO:0050789;GO:0006996;GO:0051258
168	GO:0009057;GO:0006508;GO:0036211
169	GO:0051641;GO:0006810
170	GO:0001906;GO:0001775;GO:0050789;GO:0002376;GO:0050896
171	GO:0006396;GO:0016070
174	GO:0006790
175	GO:0006996;GO:0022607;GO:0050789
176	GO:0006996
177	GO:0050789
178	GO:0006457
179	GO:0051276;GO:0006259;GO:0050789;GO:0050896
180	GO:0006396;GO:0016070
181	GO:0006629;GO:0006793;GO:0051604
185	GO:0051276
186	GO:0042180
187	GO:0032502;GO:0007155;GO:0050789;GO:0050896
188	GO:0032502;GO:0022607;GO:0050789
190	GO:0006996;GO:0051641;GO:0006810
191	GO:0051234;GO:0051641
192	GO:0006351;GO:0001816;GO:0050789
193	GO:0007155;GO:0050789
196	GO:0007155
201	GO:0022900;GO:0006119;GO:0009117
205	GO:0009117;GO:0008655
206	GO:0006396;GO:0016070;GO:0043412
207	GO:0065009;GO:0050789;GO:0050896
208	GO:0065003;GO:0002376
209	GO:0051641;GO:0007030;GO:0016192
211	GO:0032502;GO:0001775;GO:0002376
212	GO:0016043;GO:0006281;GO:0050789
213	GO:0007155
215	GO:0016043;GO:0007155
216	GO:0006811
219	GO:0050789;GO:0051641;GO:0016192
221	GO:0022414
222	GO:0006412;GO:0016032;GO:0065003
223	GO:0032502;GO:0001775;GO:0050789;GO:0002376
226	GO:0065008;GO:0006914;GO:1902600;GO:0050789
227	GO:0006354
233	GO:0036211;GO:0051604
234	GO:0006629;GO:0043603
235	GO:0006936;GO:0032502;GO:0050789;GO:0046903
238	GO:0009057;GO:0006396;GO:0016070
239	GO:0032502;GO:0016050
240	GO:0006629;GO:0006066;GO:0050789;GO:0050896
241	GO:0050789
242	GO:0016070
243	GO:0002376
244	GO:0006766;GO:0051641;GO:0051234;GO:0006629
245	GO:0016043;GO:0050789
246	GO:0006082
247	GO:0051641;GO:0051234;GO:0007005
248	GO:0006793;GO:0050896;GO:0050789;GO:0036211
249	GO:0051641;GO:0006810
250	GO:0043603;GO:0019538;GO:0050789
251	GO:0065008;GO:0050789
254	GO:0065008;GO:0006869;GO:0061024
256	GO:0006629;GO:0006082
257	GO:0051276;GO:0050789
258	GO:0006520;GO:0016070
259	GO:0022607;GO:0006082
260	GO:0050789
264	GO:0006811
265	GO:0050789
267	GO:0050789
269	GO:0022607
271	GO:0022414;GO:0007049;GO:0006508;GO:0050789;GO:0036211;GO:0009057
274	GO:0009117
276	GO:0006066;GO:0006082;GO:0006790;GO:0009117
278	GO:0065008;GO:0050789
279	GO:0006082;GO:0006629;GO:0042440;GO:0006805;GO:0050896
282	GO:0032501;GO:0050789;GO:0009914;GO:0015833;GO:0046903
283	GO:0042440
284	GO:0022607
285	GO:0006629;GO:0006139;GO:0006790;GO:0043603;GO:0006793
286	GO:0043603;GO:0006805;GO:0006790
287	GO:0050789
290	GO:0006996;GO:0032502;GO:0022607
294	GO:0006793
295	GO:0006810
299	GO:0006996
300	GO:0006119;GO:0009117
301	GO:0065003;GO:0007005
304	GO:0015031
306	GO:0006936;GO:0065008;GO:0050789;GO:0050886
307	GO:0016043;GO:0006811
309	GO:0040007;GO:0032502;GO:0050789
310	GO:0006996
311	GO:0036211
312	GO:0050789
313	GO:0016192
314	GO:0061024
315	GO:0051641;GO:0050789
317	GO:0006354
318	GO:0009059;GO:0006281;GO:0016070
319	GO:0050896;GO:0050789;GO:0031640
323	GO:0006351
325	GO:0050789;GO:0050896
326	GO:0032502
330	GO:0036211
332	GO:0050878;GO:0050789
333	GO:0006810
336	GO:0006810;GO:0051641;GO:0016050;GO:0061024
337	GO:0032502;GO:0006354
338	GO:0042254
339	GO:0006810;GO:0051641;GO:0006396
340	GO:0006260;GO:0065009;GO:0050789
342	GO:0016043;GO:0032502;GO:0050789
346	GO:0016050;GO:0065003;GO:0048284;GO:0061024
349	GO:0016043;GO:0007155
350	GO:0006260;GO:0032392
352	GO:0050789
353	GO:0044085;GO:0065003
355	GO:0006457
358	GO:0006457
360	GO:0006811;GO:0050789
361	GO:0065008
365	GO:0050789
366	GO:0050789
367	GO:0006996;GO:0051258
369	GO:0022414
370	GO:0050877;GO:0050789
371	GO:0050789;GO:0016192
372	GO:0006396;GO:0016070;GO:0043412
374	GO:0051641;GO:0015931
375	GO:0051276;GO:0050789
378	GO:0050789
379	GO:0006082;GO:0006139;GO:0006790;GO:0043603;GO:0006793;GO:0050789
380	GO:0006520;GO:0006082
381	GO:0032502;GO:0050789
390	GO:0006996;GO:0022607
399	GO:0050789
402	GO:0006520;GO:0016070
403	GO:0006520;GO:0006082
404	GO:0065003;GO:0007005
406	GO:0050789;GO:0050896
411	GO:0016043
412	GO:0050789
413	GO:0050789
414	GO:0043603;GO:0006805;GO:0006790
418	GO:0006396;GO:0016070;GO:0050789;GO:0009057;GO:0042254
420	GO:0000375;GO:0016070
424	GO:0006520;GO:0006082
425	GO:0050789
437	GO:0006082
451	GO:0016043
455	GO:0022900;GO:0045333;GO:0009117
458	GO:0050877
459	GO:0006396;GO:0016070
461	GO:0006091;GO:0005975;GO:0006082;GO:0009117
463	GO:0050789
469	GO:0051234;GO:0051641
471	GO:0051641;GO:0006997
475	GO:0009059;GO:0006520;GO:0016070
476	GO:0015031;GO:0007005;GO:0061024
482	GO:0051640;GO:0051234;GO:0050789
483	GO:0009059;GO:0016070
484	GO:0032502;GO:0006811;GO:0050789;GO:0051604
485	GO:0051606;GO:0050877
486	GO:0042445
487	GO:0050878;GO:0050789
490	GO:0065003;GO:0007005
491	GO:0006629;GO:0006082;GO:0019748
493	GO:0006281
496	GO:0050789
498	GO:0065008;GO:0048285
501	GO:0065008;GO:0050789;GO:0050896
504	GO:0009059;GO:0045229;GO:0022607;GO:0043062
508	GO:0050789;GO:0009117
