go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.004914   1,693 annotations READ: go_slim_results_R1_cpdb_0.0.txt 
276 IDs in all associations
func_module_number	
1	GO:0006629
2	GO:0006811
3	GO:0050789
4	GO:0006811
6	GO:0009059;GO:0016070;GO:0006281
7	GO:0065003;GO:0050789;GO:0016070;GO:0009059
8	GO:0016043
9	GO:0022607;GO:0050896;GO:0006914;GO:0007033
10	GO:0050896;GO:0032502;GO:0050789;GO:0032501
11	GO:0046903;GO:0050789;GO:0016192;GO:0006836;GO:0007154
12	GO:0007049;GO:0022414;GO:0050789;GO:0006508;GO:0036211;GO:0009057
13	GO:0032502;GO:0050789;GO:0002376;GO:0050896;GO:0001775
14	GO:0006629;GO:0006793;GO:0050789
15	GO:0006996;GO:0050789
16	GO:0050896;GO:0051604;GO:0050789;GO:0050878
18	GO:0050877
19	GO:0050789
20	GO:0006082;GO:0042440;GO:0006805;GO:0050789
21	GO:0006260;GO:0050789;GO:0006281
22	GO:0050789;GO:0065009
23	GO:0007059;GO:0032502;GO:0050789;GO:0051276;GO:0006281
25	GO:0031640;GO:0050789;GO:0002376;GO:0036211;GO:0050896
26	GO:0050789
27	GO:0050896;GO:0036211;GO:0050789
28	GO:0032502
29	GO:0051234;GO:0006457;GO:0051641;GO:0050789
30	GO:0022414;GO:0006281
31	GO:0016070;GO:0000375
32	GO:0008152;GO:0007059;GO:0015669;GO:0051640;GO:0050789;GO:0051276;GO:0022607
33	GO:0050789;GO:0002376
34	GO:0050789;GO:0007049
35	GO:0016070;GO:0006396
36	GO:0050896;GO:0001816;GO:0050789
37	GO:0032502;GO:0032501
38	GO:0050789
39	GO:0006790;GO:0043603;GO:0050789;GO:0065009
40	GO:0050789
43	GO:0050789
44	GO:0045229;GO:0032502;GO:0043062;GO:0050789
46	GO:0016070;GO:0043412;GO:0006396
47	GO:0007005;GO:0061024;GO:0050789;GO:0065008;GO:0050896
49	GO:0002376;GO:0050896;GO:0050789;GO:0044419
50	GO:0051641;GO:0016192
51	GO:0016043
52	GO:0016070;GO:0000375
53	GO:0006996
54	GO:0050789;GO:0006351;GO:0050896
55	GO:0007059;GO:0065003;GO:0051276
57	GO:0036211
58	GO:0050789;GO:0065009;GO:0006281
59	GO:0051261;GO:0006996;GO:0051641;GO:0050789
60	GO:0006260;GO:0050789;GO:0006281
61	GO:0016043
62	GO:0007059;GO:0051640;GO:0050789;GO:0051276;GO:0051234
63	GO:0005975;GO:0051179;GO:0007155
66	GO:0006996
67	GO:0006091;GO:0009117
69	GO:0009914;GO:0046903;GO:0050789
70	GO:0050789
71	GO:0050896;GO:0050789
72	GO:0050896;GO:0032502;GO:0050789
73	GO:0050896;GO:0050789
74	GO:0019538;GO:0009059
76	GO:0006082;GO:0050789;GO:0006520;GO:0036211;GO:0050896
78	GO:0050789
80	GO:0051641;GO:0051234
81	GO:0006082;GO:0006520
83	GO:0008283;GO:0032502;GO:0050789;GO:0050896
84	GO:0051276;GO:0050896;GO:0006260;GO:0050789
85	GO:0050789;GO:0006354
86	GO:0065003;GO:0050789;GO:0006412
88	GO:0051180
89	GO:0006082
90	GO:0007154;GO:0006811;GO:0050789
91	GO:0042254;GO:0016070;GO:0006396
92	GO:0065003;GO:0050789
94	GO:0050789;GO:0001775;GO:0002376
95	GO:0050877
96	GO:0036211
97	GO:0006810;GO:0061024;GO:0051640;GO:0051641;GO:0016050
99	GO:0016192
100	GO:0065008;GO:0050789;GO:0016043;GO:0007155;GO:0007154
101	GO:0036211
102	GO:0022414;GO:0006281
103	GO:0006629;GO:0006082;GO:0007031;GO:0015031;GO:0048285
105	GO:0050789;GO:0007155
106	GO:0008283;GO:0050789;GO:0001775;GO:0002376
107	GO:0050877;GO:0050896
108	GO:0065008;GO:0006810
109	GO:0006520
110	GO:0007005;GO:0065003
111	GO:0040011;GO:0050789;GO:0002376;GO:0044419;GO:0050896
112	GO:0006457
113	GO:0006997;GO:0051179
114	GO:0006351
115	GO:0007005;GO:0051641;GO:0051234
116	GO:0007005;GO:0050896;GO:0050789;GO:0048284
117	GO:0050789;GO:0065009
119	GO:0015931;GO:0051641
120	GO:0007005;GO:0061024;GO:0051641;GO:0051234
122	GO:0006508;GO:0009057
124	GO:0006082;GO:0006066
125	GO:0006629;GO:0051179;GO:0050789
127	GO:0050789
128	GO:0050789
129	GO:0008152;GO:0043062;GO:0022411;GO:0050789;GO:0045229;GO:0065008;GO:0050886
130	GO:0050789
132	GO:0006996;GO:0022607;GO:0050789
133	GO:0007030
134	GO:0006793;GO:0036211
135	GO:0006793;GO:0036211;GO:0050789
136	GO:0050789;GO:0007155
137	GO:0051261;GO:0050789
139	GO:0032502;GO:0016043
141	GO:0050789;GO:0032502;GO:0016043
144	GO:0050789;GO:0032502;GO:0016043
146	GO:0007155
147	GO:0001775;GO:0050878;GO:0007155;GO:0051604;GO:0050896;GO:0050817
150	GO:0006869;GO:0050789;GO:0016043;GO:0032501
151	GO:0006082;GO:0015031;GO:0006629
152	GO:0051641;GO:0050789;GO:0016192
153	GO:0007154;GO:0050877;GO:0050789;GO:0065008
154	GO:0007154;GO:0050789
155	GO:0008283;GO:0006793;GO:0050789;GO:0044419;GO:0002376;GO:0036211;GO:0050896;GO:0001775
157	GO:0015931;GO:0051641
158	GO:0036211
159	GO:0006811;GO:0002376
160	GO:0006520;GO:0016070;GO:0009059
162	GO:0006996
163	GO:0065003;GO:0016070;GO:0006396
164	GO:0050789
167	GO:0006811;GO:0050789;GO:0065009;GO:0007155
168	GO:0050896;GO:0050789;GO:0001775;GO:0002376
170	GO:0048753;GO:0051640;GO:0006810;GO:0051641
171	GO:0001816;GO:0050789;GO:0065009;GO:0002376
172	GO:0050789
173	GO:0050789
174	GO:0046903;GO:0061024;GO:0051640;GO:0016192;GO:0022406;GO:0006836;GO:0048284;GO:0016050
175	GO:0006996
176	GO:0036211;GO:0006508
177	GO:0036211
179	GO:0006119;GO:0022900;GO:0009117
180	GO:0050789;GO:0050896;GO:0002376
182	GO:0050896;GO:0050789;GO:0002376
184	GO:0050789
185	GO:0007033;GO:0022411;GO:0061024;GO:0006914;GO:0007032;GO:0044419;GO:0016032;GO:0016192;GO:0022607;GO:0048284;GO:0051641
186	GO:0050789
187	GO:0032989;GO:0006996;GO:0032502;GO:0006936;GO:0022607
189	GO:0008152
190	GO:0006520;GO:0016070
191	GO:0032501;GO:0050789;GO:0006811;GO:0051641;GO:0050896
192	GO:0015931;GO:0016070;GO:0050789;GO:0009057;GO:0006811;GO:0051641
193	GO:0051606
194	GO:0050789
195	GO:0022607
196	GO:0050789
198	GO:0051641;GO:0007030;GO:0016192
199	GO:0016070;GO:0043412
200	GO:0019538;GO:0009059
201	GO:0050896;GO:0050789
202	GO:0050896;GO:0050789
203	GO:0006629;GO:0043603;GO:0006066
204	GO:0006629;GO:0006793
205	GO:0006810
206	GO:0022607;GO:0032501
207	GO:0046903;GO:0006836;GO:0015837;GO:0016192
208	GO:0016192
