func_module_number	go_slim_pir
10	GO:0006869;GO:0065008;GO:0061024
20	GO:0008150
73	GO:0045333;GO:0050789;GO:0022900
75	GO:0050789
79	GO:0001775;GO:0009057;GO:0002376;GO:0006259
86	GO:0006869;GO:0032501;GO:0065003
87	GO:0006869;GO:0050789;GO:0046903;GO:0009914
98	GO:0050789;GO:0006836;GO:0007154
176	GO:0050896
178	GO:0006082;GO:0006629
194	GO:0050789
230	GO:0050789
239	GO:0050789;GO:0016043;GO:0065008
252	GO:0050789
266	GO:0007155;GO:0016043
290	GO:0045229;GO:0043062
300	GO:0050878;GO:0046903
319	GO:0044419;GO:0050896;GO:0002376
320	GO:0044419
351	GO:0050789
